<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,231121,000000,282.79
SBER,D,231122,000000,286.16
SBER,D,231123,000000,286.19
SBER,D,231124,000000,286.85
SBER,D,231127,000000,282.33
SBER,D,231128,000000,279.91
SBER,D,231129,000000,276.8
SBER,D,231130,000000,277.5
SBER,D,231201,000000,273.97
SBER,D,231204,000000,270.96
SBER,D,231205,000000,279.62
SBER,D,231206,000000,267.58
SBER,D,231207,000000,265.12
SBER,D,231208,000000,265.16
SBER,D,231211,000000,256.89
SBER,D,231212,000000,257.6
SBER,D,231213,000000,260.45
SBER,D,231214,000000,256.64
SBER,D,231215,000000,268.21
SBER,D,231218,000000,268.4
SBER,D,231219,000000,267.35
SBER,D,231220,000000,266.61
SBER,D,231221,000000,265.19
SBER,D,231222,000000,271.3
SBER,D,231225,000000,271.08
SBER,D,231226,000000,271.9
SBER,D,231227,000000,271.08
SBER,D,231228,000000,271.74
SBER,D,231229,000000,270.82
SBER,D,240103,000000,274.56
SBER,D,240104,000000,274.12
SBER,D,240105,000000,273.62
SBER,D,240108,000000,276.76
SBER,D,240109,000000,275.28
SBER,D,240110,000000,274.49
SBER,D,240111,000000,275.71
SBER,D,240112,000000,275.84
SBER,D,240115,000000,275.96
SBER,D,240116,000000,276.01
SBER,D,240117,000000,278
SBER,D,240118,000000,277.07
SBER,D,240119,000000,274.86
SBER,D,240122,000000,274.93
SBER,D,240123,000000,275.9
SBER,D,240124,000000,273.77
SBER,D,240125,000000,272.81
SBER,D,240126,000000,272.65
SBER,D,240129,000000,274.05
SBER,D,240130,000000,275.67
SBER,D,240131,000000,276
SBER,D,240201,000000,276.86
SBER,D,240202,000000,276.74
SBER,D,240205,000000,277.84
SBER,D,240206,000000,278.67
SBER,D,240207,000000,284.41
SBER,D,240208,000000,282.17
SBER,D,240209,000000,283.5
SBER,D,240212,000000,287.28
SBER,D,240213,000000,287.07
SBER,D,240214,000000,289.06
SBER,D,240215,000000,290.24
SBER,D,240216,000000,288.33
SBER,D,240219,000000,288.93
SBER,D,240220,000000,283.9
SBER,D,240221,000000,282
SBER,D,240222,000000,284.77
SBER,D,240226,000000,291.25
SBER,D,240227,000000,292.52
SBER,D,240228,000000,291.75
SBER,D,240229,000000,292.19
SBER,D,240301,000000,295.38
SBER,D,240304,000000,299.17
SBER,D,240305,000000,298.4
SBER,D,240306,000000,297.71
SBER,D,240307,000000,300.4
SBER,D,240311,000000,299.79
SBER,D,240312,000000,300.9
SBER,D,240313,000000,298.85
SBER,D,240314,000000,295.83
SBER,D,240315,000000,298.3
SBER,D,240318,000000,298.87
SBER,D,240319,000000,295.2
SBER,D,240320,000000,295.4
SBER,D,240321,000000,295.62
SBER,D,240322,000000,292.99
SBER,D,240325,000000,293.9
SBER,D,240326,000000,294.11
SBER,D,240327,000000,295.1
SBER,D,240328,000000,299
SBER,D,240329,000000,298.72
SBER,D,240401,000000,300.43
SBER,D,240402,000000,300.38
SBER,D,240403,000000,306.72
SBER,D,240404,000000,304.61
SBER,D,240405,000000,306.1
SBER,D,240408,000000,307.75
SBER,D,240409,000000,306.76
SBER,D,240410,000000,306.48
SBER,D,240411,000000,306.95
SBER,D,240412,000000,307.1
SBER,D,240415,000000,307.99
SBER,D,240416,000000,308.29
SBER,D,240417,000000,306.59
SBER,D,240418,000000,307.99
SBER,D,240419,000000,307.38
SBER,D,240422,000000,314.99
SBER,D,240423,000000,307.39
SBER,D,240424,000000,307.94
SBER,D,240425,000000,308.41
SBER,D,240426,000000,309
SBER,D,240427,000000,308.98
SBER,D,240429,000000,308.97
SBER,D,240430,000000,308.24
SBER,D,240502,000000,307.37
SBER,D,240503,000000,307.53
SBER,D,240506,000000,306.01
SBER,D,240507,000000,308.22
SBER,D,240508,000000,311.21
SBER,D,240510,000000,313.49
SBER,D,240513,000000,314.85
SBER,D,240514,000000,318.12
SBER,D,240515,000000,319.7
SBER,D,240516,000000,322.91
SBER,D,240517,000000,323.16
SBER,D,240520,000000,321.08
SBER,D,240521,000000,320.64
SBER,D,240522,000000,322.93
SBER,D,240523,000000,323.54
SBER,D,240524,000000,321
SBER,D,240527,000000,317.09
SBER,D,240528,000000,318.22
SBER,D,240529,000000,320.38
SBER,D,240530,000000,316.63
SBER,D,240531,000000,313.11
SBER,D,240603,000000,310.95
SBER,D,240604,000000,316.49
SBER,D,240605,000000,314.72
SBER,D,240606,000000,313.08
SBER,D,240607,000000,319.9
SBER,D,240610,000000,317.28
SBER,D,240611,000000,317.8
SBER,D,240613,000000,317.71
SBER,D,240614,000000,319.35
SBER,D,240617,000000,317.65
SBER,D,240618,000000,314.34
SBER,D,240619,000000,310.7
SBER,D,240620,000000,314.15
SBER,D,240621,000000,314.14
SBER,D,240624,000000,317.25
SBER,D,240625,000000,319.8
SBER,D,240626,000000,324.55
SBER,D,240627,000000,327.16
SBER,D,240628,000000,327.15
SBER,D,240701,000000,327.1
SBER,D,240702,000000,328.37
SBER,D,240703,000000,328.2
SBER,D,240704,000000,324.66
SBER,D,240705,000000,325
SBER,D,240708,000000,324.07
SBER,D,240709,000000,319.99
SBER,D,240710,000000,316.68
SBER,D,240711,000000,295.87
SBER,D,240712,000000,292.21
SBER,D,240715,000000,284.38
SBER,D,240716,000000,285.25
SBER,D,240717,000000,284.68
SBER,D,240718,000000,289.83
SBER,D,240719,000000,289.9
SBER,D,240722,000000,294.71
SBER,D,240723,000000,294.39
SBER,D,240724,000000,295.69
SBER,D,240725,000000,296.37
SBER,D,240726,000000,293.3
SBER,D,240729,000000,286.58
SBER,D,240730,000000,290
SBER,D,240731,000000,289.3
SBER,D,240801,000000,287.21
SBER,D,240802,000000,286.04
SBER,D,240805,000000,275.49
SBER,D,240806,000000,279.4
SBER,D,240807,000000,282.2
SBER,D,240808,000000,281.09
SBER,D,240809,000000,281.44
SBER,D,240812,000000,280.74
SBER,D,240813,000000,283.92
SBER,D,240814,000000,280.32
SBER,D,240815,000000,278.01
SBER,D,240816,000000,274.6
SBER,D,240819,000000,268.17
SBER,D,240820,000000,266.2
SBER,D,240821,000000,266.93
SBER,D,240822,000000,261.6
SBER,D,240823,000000,259.5
SBER,D,240826,000000,265.39
SBER,D,240827,000000,260.5
SBER,D,240828,000000,262.47
SBER,D,240829,000000,260.31
SBER,D,240830,000000,254.45
SBER,D,240902,000000,244.31
SBER,D,240903,000000,244.04
SBER,D,240904,000000,253.01
SBER,D,240905,000000,252.82
SBER,D,240906,000000,254.77
SBER,D,240909,000000,263.31
SBER,D,240910,000000,261.29
SBER,D,240911,000000,258.2
SBER,D,240912,000000,254.93
SBER,D,240913,000000,258.25
SBER,D,240916,000000,263.79
SBER,D,240917,000000,265.99
SBER,D,240918,000000,263.4
SBER,D,240919,000000,264.5
SBER,D,240920,000000,269.08
SBER,D,240923,000000,273.17
SBER,D,240924,000000,272.92
SBER,D,240925,000000,267.8
SBER,D,240926,000000,267.88
SBER,D,240927,000000,268.07
SBER,D,240930,000000,268.49
SBER,D,241001,000000,266.29
SBER,D,241002,000000,259.31
SBER,D,241003,000000,264.25
SBER,D,241004,000000,264.09
SBER,D,241007,000000,263.39
SBER,D,241008,000000,262.4
SBER,D,241009,000000,260.86
SBER,D,241010,000000,259.98
SBER,D,241011,000000,256.94
SBER,D,241014,000000,261.28
SBER,D,241015,000000,262.03
SBER,D,241016,000000,259.5
SBER,D,241017,000000,256.57
SBER,D,241018,000000,257.19
SBER,D,241021,000000,258.21
SBER,D,241022,000000,255.42
SBER,D,241023,000000,252.01
SBER,D,241024,000000,252.64
SBER,D,241025,000000,246.35
SBER,D,241028,000000,242.56
SBER,D,241029,000000,242.66
SBER,D,241030,000000,241.45
SBER,D,241031,000000,237.9
SBER,D,241101,000000,238.03
SBER,D,241102,000000,238.97
SBER,D,241105,000000,239.23
SBER,D,241106,000000,243.6
SBER,D,241107,000000,250.93
SBER,D,241108,000000,255.98
SBER,D,241111,000000,260.73
SBER,D,241112,000000,255.77
SBER,D,241113,000000,254.7
SBER,D,241114,000000,249.52
SBER,D,241115,000000,253.43
SBER,D,241118,000000,248.72
SBER,D,241119,000000,240.59
SBER,D,241120,000000,237.05
SBER,D,241121,000000,240.47
SBER,D,241122,000000,236
SBER,D,241125,000000,227.81
SBER,D,241126,000000,223.16
SBER,D,241127,000000,226.3
SBER,D,241128,000000,228.56
SBER,D,241129,000000,236.49
SBER,D,241202,000000,235.17
SBER,D,241203,000000,230.8
SBER,D,241204,000000,224.55
SBER,D,241205,000000,233.48
SBER,D,241206,000000,237.84
SBER,D,241209,000000,237.29
SBER,D,241210,000000,230.82
SBER,D,241211,000000,234.19
SBER,D,241212,000000,229.02
SBER,D,241213,000000,228.7
SBER,D,241216,000000,225.53
SBER,D,241217,000000,226.5
SBER,D,241218,000000,230.15
SBER,D,241219,000000,229
SBER,D,241220,000000,257.6
SBER,D,241223,000000,264.9
SBER,D,241224,000000,264.34
SBER,D,241225,000000,271.69
SBER,D,241226,000000,269.56
SBER,D,241227,000000,271.2
SBER,D,241228,000000,272.83
SBER,D,241230,000000,279.43
SBER,D,250103,000000,272.25
SBER,D,250106,000000,274.37
SBER,D,250108,000000,277
SBER,D,250109,000000,271.8
SBER,D,250110,000000,278.77
SBER,D,250113,000000,279.8
SBER,D,250114,000000,279.85
SBER,D,250115,000000,282.77
SBER,D,250116,000000,281.8
SBER,D,250117,000000,283.53
SBER,D,250120,000000,278.19
SBER,D,250121,000000,281.85
SBER,D,250122,000000,280.36
SBER,D,250123,000000,280.49
SBER,D,250124,000000,280.74
SBER,D,250127,000000,275.23
SBER,D,250128,000000,278.35
SBER,D,250129,000000,280.36
SBER,D,250130,000000,281.97
SBER,D,250131,000000,280.73
SBER,D,250203,000000,279.55
SBER,D,250204,000000,277.4
SBER,D,250205,000000,282.88
SBER,D,250206,000000,287.15
SBER,D,250207,000000,285.81
SBER,D,250210,000000,289.94
SBER,D,250211,000000,294.06
SBER,D,250212,000000,314
SBER,D,250213,000000,310.1
SBER,D,250214,000000,309.87
SBER,D,250217,000000,319.5
SBER,D,250218,000000,312.95
SBER,D,250219,000000,315.91
SBER,D,250220,000000,315.05
SBER,D,250221,000000,314.74
SBER,D,250224,000000,316.03
SBER,D,250225,000000,316.97
SBER,D,250226,000000,310.22
SBER,D,250227,000000,307.1
SBER,D,250228,000000,309.63
SBER,D,250301,000000,310.11
SBER,D,250302,000000,307.44
SBER,D,250303,000000,305.5
SBER,D,250304,000000,316.4
SBER,D,250305,000000,313.56
SBER,D,250306,000000,315.18
SBER,D,250307,000000,316.92
SBER,D,250310,000000,317.57
SBER,D,250311,000000,319.69
SBER,D,250312,000000,318.39
SBER,D,250313,000000,316.37
SBER,D,250314,000000,320.51
SBER,D,250315,000000,320.74
SBER,D,250316,000000,323.44
SBER,D,250317,000000,326.02
SBER,D,250318,000000,324.06
SBER,D,250319,000000,325.3
SBER,D,250320,000000,324.05
SBER,D,250321,000000,323.26
SBER,D,250324,000000,319.47
SBER,D,250325,000000,319.8
SBER,D,250326,000000,315.23
SBER,D,250327,000000,311.96
SBER,D,250328,000000,308.04
SBER,D,250329,000000,303.89
SBER,D,250330,000000,299.22
SBER,D,250331,000000,309.72
SBER,D,250401,000000,303.24
SBER,D,250402,000000,306.11
SBER,D,250403,000000,302.09
SBER,D,250404,000000,285.35
SBER,D,250405,000000,284.98
SBER,D,250406,000000,290.35
SBER,D,250407,000000,287.56
SBER,D,250408,000000,282.03
SBER,D,250409,000000,293.4
SBER,D,250410,000000,292.46
SBER,D,250411,000000,299.81
SBER,D,250412,000000,300.95
SBER,D,250413,000000,301.49
SBER,D,250414,000000,296.5
SBER,D,250415,000000,297.99
SBER,D,250416,000000,300.8
SBER,D,250417,000000,304.8
SBER,D,250418,000000,300.01
SBER,D,250421,000000,308.12
SBER,D,250422,000000,312.25
SBER,D,250423,000000,310
SBER,D,250424,000000,310.16
SBER,D,250425,000000,316.69
SBER,D,250426,000000,317.58
SBER,D,250427,000000,318.18
SBER,D,250428,000000,314.23
SBER,D,250429,000000,309.41
SBER,D,250430,000000,307.8
SBER,D,250502,000000,299.96
SBER,D,250503,000000,300.7
SBER,D,250504,000000,301.8
SBER,D,250505,000000,294.64
SBER,D,250506,000000,302.02
SBER,D,250507,000000,302.79
SBER,D,250508,000000,302.15
SBER,D,250510,000000,302.38
SBER,D,250511,000000,305.48
SBER,D,250512,000000,310.81
